Name;erstwahl;zweitwahl;drittwahl
Arnulfo_Moore;4;12;2
Christopher_Saylor;4;12;2
Gregory_Smith;2;44;12
Betty_Mesa;2;4;7
Yvette_Brown;4;12;2
Mildred_Maddy;4;31;7
Julie_Mitchell;4;11;6
Sandra_Rosas;4;11;2
Douglas_Trinkle;4;11;13
Michael_Maslow;13;4;31
Claretha_Walker;4;11;2
Chester_Carney;4;11;6
Christine_Wright;4;12;2
Michelle_Hargraves;4;12;2
Jerome_Stewart;4;11;6
Kenneth_Anderson;4;11;13
Robert_Tainter;13;8;7
Donald_Tobey;13;30;2
Quiana_Burnett;4;11;12
Mark_Koffman;11;4;12
John_Simmons;4;6;12
Morgan_Lazarus;13;30;7
Helene_Stokes;2;31;6
William_Negro;2;7;13
Nicholas_Joy;2;7;12
Jaime_Hiers;2;12;44
Wayne_Eide;31;13;7
Nina_Conley;13;30;2
Shirley_Fox;4;2;12
Priscilla_Kerr;7;2;12
Wanda_Sullivan;12;4;31
Willa_Smith;2;13;12
Chuck_Torres;4;2;12
William_Gabriel;4;12;2
Pablo_Davis;4;6;12
Trudy_Given;4;12;6
Carl_Pulver;2;4;6
Donald_Johnson;4;12;2
Shawn_Mcelwee;4;12;2
Tammy_Seta;4;12;2
Joe_Green;12;4;30
Jason_Radcliff;12;4;2
Manuel_Barnette;12;4;6
Melvin_Gause;6;2;11
David_Lonergan;4;12;2
Joe_Mariani;6;4;12
Anthony_Baker;4;12;2
Krystal_Hall;1;8;31
Ann_Lynch;4;3;35
Ronald_Watson;4;3;35
Megan_Martinez;4;35;34
Lori_Wathen;1;8;13
Brandi_Crook;4;2;33
Michael_Mcgonigle;4;3;35
Susie_Bailey;4;35;3
William_Raglin;1;4;5
Kim_Cordeiro;29;35;10
Andres_Wingate;4;1;3
John_Brown;4;3;35
Tamika_Simons;1;11;2
Delores_Rios;4;35;10
George_Alfonso;4;35;3
Danny_Jarvis;10;1;7
Hilda_Mills;7;1;12
Tamara_Ricker;31;4;9
Virginia_Winterholler;33;35;10
Keith_Kurland;7;1;12
Beverly_Tharp;12;34;35
Carroll_Perez;3;6;10
Annie_Aquino;10;30;1
David_Gate;33;3;6
Elizabeth_Rathbum;33;3;12
Michael_Lockhart;4;34;12
Loise_Sammartano;4;34;12
Allen_Muller;31;13;1
Gonzalo_Solis;2;4;33
Gwendolyn_Robinson;2;4;35
Amparo_Collins;7;1;12
Leonard_Ogilvie;12;34;33
Shawn_Calhoun;33;35;10
Charles_Smith;4;29;35
Manuel_Mayer;35;33;34
Richard_Morrow;35;34;12
Robert_Davis;29;6;1
Clifford_Jackson;12;34;35
Nick_Green;35;29;3
Lorene_Clanton;6;35;11
Clyde_Towle;8;13;1
Harry_Anthony;34;33;35
Jessenia_Mccatty;12;34;35
Ruth_Ma;33;1;7
Glenn_Libby;33;35;12
Veronica_Peavler;1;31;13
Nola_Hawthorne;29;12;35
Dolores_George;35;2;29
Robert_Reeder;34;35;12
Arthur_Chatman;33;4;29
Anna_Compton;6;1;10
Barry_Williams;6;2;29
Nicole_Reynolds;6;35;11
Justin_Kirtland;34;35;12
Ciara_Harris;34;10;33
William_Ayre;12;34;35
Cheryl_Cusumano;13;8;1
Joann_Radtke;12;10;34
Maria_Hardin;14;3;35
Daine_Green;6;10;7
Marybeth_Tune;10;30;1
Rick_Hultgren;14;10;12
Fredia_Neeley;3;14;33
Brenda_Young;10;30;1
Salvador_Hunter;10;31;7
Sumiko_Settle;10;3;14
Bryan_Meyer;10;30;12
Esther_Huey;33;10;34
Ryan_Boughton;10;7;1
Michele_Mackin;34;10;14
Linda_Heath;14;3;33
Darrin_Canaday;14;10;12
Carl_Rudd;33;35;34
Linda_Gifford;31;35;8
Edna_Day;1;8;10
Jeffrey_Henderson;31;35;15
Carol_Campbell;1;8;34
Martha_Butler;1;31;15
Karen_Goessl;31;35;34
Eileen_Leighton;31;35;34
Kevin_Jackson;31;1;10
Anna_Crowley;10;33;35
Christina_Jones;33;35;34
Willard_Stewart;35;14;34
Anthony_Nottingham;1;10;8
Bradley_Morgan;10;31;7
Lula_Schwartz;31;1;10
Dewey_Speer;33;6;1
Sharon_Schroeder;10;1;8
Joanne_Mangino;10;6;31
Mary_Alves;10;1;15
James_Rison;10;3;14
Samuel_Aguirre;10;31;1
Shauna_Jones;6;1;29
Jonathan_Kreger;34;12;31
Maximo_Mccullough;10;3;14
Sandy_Donaldson;10;31;15
Marisol_Reece;10;1;8
Gary_Roberge;29;2;3
Stephanie_Wagner;31;1;15
Wendi_Hobson;12;34;35
Sandra_Griffith;6;10;29
Anthony_Crivello;33;14;3
Paul_Blum;14;33;3
Kevin_Ortiz;44;10;31
Demarcus_Scott;31;10;11
Andrea_Brown;10;1;29
Irene_Barney;33;14;3
Sylvia_Mcenaney;10;30;1
Peggy_Goff;29;14;3
Janice_Addison;14;3;33
Doris_Bernard;6;35;28
Stanley_Nath;6;35;28
George_Yount;35;12;33
Wesley_Oppegard;12;34;9
Rosanna_Ray;12;35;33
Russell_Ramirez;12;35;33
Viviana_Swanson;10;34;12
Kim_Albrecht;35;12;33
Calvin_Lane;12;34;3
Beulah_Juett;12;34;29
Pete_Ventura;6;14;34
Linda_Orcutt;3;6;1
Clarence_Wells;44;10;7
Elba_Dortch;10;6;1
Michelle_Willoughby;35;34;12
Jackson_Northrup;10;44;15
Kimberly_Keely;44;7;12
Lawrence_Smoot;14;10;1
Fannie_Porter;10;1;15
Mark_Morey;10;31;1
Rick_Mills;3;12;30
Marvin_Madden;14;3;12
Lyle_Tiller;1;7;6
Jason_Hardman;3;7;6
